title,tom,aud,tom_ave_rating,tom_num_reviews,tom_fresh,tom_rotten,aud_ave_rating,aud_num_ratings,age_rating,genre,director,writers,rel_date,box,runtime,studio,link
The Glass Castle,50,73,6.0,151,76,75,3.8,8537,PG-13,['Drama'],Destin Daniel Cretton,"['Destin Daniel Cretton, Andrew Lanham']","Aug 11, 2017",17238739.0,127.0,Lionsgate,https://www.rottentomatoes.com/m/the_glass_castle_2017
The Ritual,71,59,6.0,76,54,22,3.4,1470,NR,"['Art House & International', 'Horror']",David Bruckner,"['Adam Nevill, Joe Barton']",,,94.0,Netflix,https://www.rottentomatoes.com/m/the_ritual_2017
Father Figures,18,28,3.5,45,8,37,2.5,4229,R,['Comedy'],Lawrence Sher,['Justin Malen'],"Dec 22, 2017",16772934.0,113.0,Warner Bros. Pictures,https://www.rottentomatoes.com/m/father_figures_2017
Gerald's Game,90,72,7.6,59,53,6,3.6,2987,NR,"['Drama', 'Horror', 'Mystery & Suspense']",Mike Flanagan,"['Mike Flanagan, Jeff Howard']","Sep 29, 2017",,103.0,Netflix,https://www.rottentomatoes.com/m/geralds_game_2017
The Mountain Between Us,41,48,5.2,154,63,91,3.2,12357,PG-13,"['Drama', 'Romance']",Hany Abu-Assad,"['J. Mills Goodloe, Chris Weitz']","Oct 6, 2017",29669726.0,100.0,20th Century Fox,https://www.rottentomatoes.com/m/the_mountain_between_us_2017
Trench 11,90,50,6.1,10,9,1,3.7,28,NR,['Horror'],,,,,91.0,,https://www.rottentomatoes.com/m/trench_11
Life,68,55,6.0,228,155,73,3.3,33018,R,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Daniel Espinosa,"['Paul Wernick, Rhett Reese']","Mar 24, 2017",30180466.0,103.0,Skydance Films,https://www.rottentomatoes.com/m/life_2017
The Death of Stalin,96,77,8.2,214,205,9,3.8,5177,R,"['Comedy', 'Drama']",Armando Iannucci,"['Fabien Nury, Armando Iannucci, David Schneider, Ian Martin, Thierry Robin']","Mar 9, 2018",,107.0,IFC Films,https://www.rottentomatoes.com/m/the_death_of_stalin
Happy Death Day,70,65,6.0,127,89,38,3.6,15380,PG-13,['Horror'],Christopher Landon,['Scott Lobdell'],"Oct 13, 2017",55398005.0,,Universal Studios,https://www.rottentomatoes.com/m/happy_death_day
Verónica,60,41,5.0,5,3,2,2.9,155,NR,"['Art House & International', 'Drama', 'Mystery & Suspense']","Carlos Algara, Alejandro Martínez Beltrán","['Carlos Algara, Tomas Nepomuceno']",,,81.0,Producciones A Ciegas,https://www.rottentomatoes.com/m/verónica_2017
The Square,84,69,7.5,184,155,29,3.6,3786,R,"['Art House & International', 'Comedy', 'Drama']",Ruben Östlund,['Ruben Östlund'],"Oct 27, 2017",1284672.0,142.0,Magnolia Pictures,https://www.rottentomatoes.com/m/the_square_2017
